Table 2.1.4. Spatial distribution of establishments and change between 2020 and 2023,,,,,,,,
,,,,,,,,
District/ Province,Counts,,,,Percentage,,,
,2014,2017.0,2020.0,2023.0,2014,2017.0,2020.0,2023.0
Nyarugenge,12191,15874.0,19906.0,22704.0,7.9,8.3,8.6,8.4
Gasabo,12337,16195.0,19648.0,25110.0,8,8.5,8.5,9.3
Kicukiro,8091,11323.0,14883.0,17070.0,5.2,6.0,6.4,6.3
City of Kigali ,32619,43392.0,54437.0,64884.0,21.1,22.8,23.4,24.1
Nyanza,3359,3997.0,4929.0,5364.0,2.2,2.1,2.1,2.0
Gisagara,2590,2693.0,4036.0,4519.0,1.7,1.4,1.7,1.7
Nyaruguru,3303,3669.0,3809.0,4474.0,2.1,1.9,1.6,1.7
Huye,4560,4732.0,5800.0,6727.0,3,2.5,2.5,2.5
Nyamagabe,4314,4955.0,6220.0,6814.0,2.8,2.6,2.7,2.5
Ruhango,3505,4128.0,5061.0,5730.0,2.3,2.2,2.2,2.1
Muhanga,5969,7493.0,7663.0,8237.0,3.9,3.9,3.3,3.1
Kamonyi,4644,6093.0,7363.0,8955.0,3,3.2,3.2,3.3
South Province,32244,37760.0,44881.0,50820.0,20.9,19.8,19.3,18.9
Karongi,4547,4931.0,5163.0,6077.0,2.9,2.6,2.2,2.3
Rutsiro,4216,4990.0,5765.0,6432.0,2.7,2.6,2.5,2.4
Rubavu,6587,8940.0,11840.0,13008.0,4.3,4.7,5.1,4.8
Nyabihu,3661,4095.0,4601.0,4917.0,2.4,2.2,2.0,1.8
Ngororero,4202,5003.0,5050.0,6263.0,2.7,2.6,2.2,2.3
Rusizi,5307,6787.0,7706.0,9017.0,3.4,3.6,3.3,3.3
Nyamasheke,4450,5057.0,6405.0,6454.0,2.9,2.7,2.8,2.4
West Province,32970,39803.0,46530.0,52168.0,21.4,20.9,20.0,19.4
Rulindo,3755,4606.0,5178.0,6081.0,2.4,2.4,2.2,2.3
Gakenke,4059,4580.0,5166.0,6204.0,2.6,2.4,2.2,2.3
Musanze,6616,8939.0,11248.0,13240.0,4.3,4.7,4.8,4.9
Burera,3938,4709.0,4799.0,6233.0,2.6,2.5,2.1,2.3
Gicumbi,5227,6452.0,7917.0,8641.0,3.4,3.4,3.4,3.2
North Province,23595,29286.0,34308.0,40399.0,15.3,15.4,14.8,15.0
Rwamagana,4853,6045.0,8026.0,9612.0,3.1,3.2,3.5,3.6
Nyagatare,6038,6606.0,8506.0,9542.0,3.9,3.5,3.7,3.5
Gatsibo,4479,4941.0,6786.0,7505.0,2.9,2.6,2.9,2.8
Kayonza,3896,5267.0,7091.0,8353.0,2.5,2.8,3.1,3.1
Kirehe,4075,5832.0,6977.0,7604.0,2.6,3.1,3.0,2.8
Ngoma,4027,4706.0,5936.0,7224.0,2.6,2.5,2.6,2.7
Bugesera,5440,6650.0,8805.0,11215.0,3.5,3.5,3.8,4.2
East Province,32808,40047.0,52127.0,61055.0,21.3,21.0,22.4,22.7
Rwanda,154236,190288.0,232283.0,269326.0,100,100.0,100.0,100.0
