Table 2.1. 3: Distribution of establishments (Number and %) by economic activity,,
,,
ECONOMIC ACTIVITY ( ISIC level I),COUNT,PERCENT
"Agriculture, forestry and fishing",705,0.3
Mining and quarrying,295,0.1
Manufacturing,17817,6.6
"Electricity, gas, steam and air conditioning supply",76,0
"Water supply, sewage, waste management and remediation activities",1939,0.7
Construction,197,0.1
Whole sale and retail trade; repair of motor vehicles and motorcycles,144671,53.7
Transportation and storage,707,0.3
Accommodation and food service activities,61923,23
Information and communication,2512,0.9
Financial and insurance activities,4067,1.5
Real estate activities,132,0
"Professional, scientific and technical activities",1853,0.7
Administrative and support services activities,1552,0.6
Public administration and defense compulsory social security,130,0
Education,5451,2
Human health and social work activities,1850,0.7
"Arts, entertainment and recreation",500,0.2
Other services activities,22949,8.5
Total,269326,99.9
