Table 2.2. 1: Distribution of workers by district and by sex at the national level,,,,,,,
,,,,,,,
District/ Province,Count,,,Percentage,,,
,Total ,Male ,Female,Total,,Male ,Female
Nyarugenge,89758,51172,38586,9.7,,9.8,9.5
Gasabo,130859,72903,57956,14.1,,13.9,14.3
Kicukiro,75055,41573,33482,8.1,,7.9,8.3
City of Kigali ,295672,165648,130024,31.9,,31.7,32.1
Nyanza,14624,8092,6532,1.6,,1.5,1.6
Gisagara,15486,8382,7104,1.7,,1.6,1.8
Nyaruguru,18949,11285,7664,2,,2.2,1.9
Huye,26394,14536,11858,2.8,,2.8,2.9
Nyamagabe,21384,12233,9151,2.3,,2.3,2.3
Ruhango,17051,9456,7595,1.8,,1.8,1.9
Muhanga,22411,12102,10309,2.4,,2.3,2.5
Kamonyi,24563,13108,11455,2.6,,2.5,2.8
South Province,160862,89194,71668,17.3,,17,17.7
Karongi,24424,13213,11211,2.6,,2.5,2.8
Rutsiro,19423,12408,7015,2.1,,2.4,1.7
Rubavu,34406,19125,15281,3.7,,3.7,3.8
Nyabihu,21090,11785,9305,2.3,,2.3,2.3
Ngororero,23077,13004,10073,2.5,,2.5,2.5
Rusizi,26866,15712,11154,2.9,,3,2.8
Nyamasheke,22340,12745,9595,2.4,,2.4,2.4
West Province,171626,97992,73634,18.5,,18.7,18.2
Rulindo,28595,15946,12649,3.1,,3,3.1
Gakenke,20954,13343,7611,2.3,,2.6,1.9
Musanze,36010,19058,16952,3.9,,3.6,4.2
Burera,17938,11270,6668,1.9,,2.2,1.6
Gicumbi,24757,14367,10390,2.7,,2.7,2.6
North Province,128254,73984,54270,13.8,,14.1,13.4
Rwamagana,27819,14825,12994,3,,2.8,3.2
Nyagatare,26879,16179,10700,2.9,,3.1,2.6
Gatsibo,23422,13308,10114,2.5,,2.5,2.5
Kayonza,23289,13363,9926,2.5,,2.6,2.5
Kirehe,21997,12602,9395,2.4,,2.4,2.3
Ngoma,18520,10596,7924,2,,2,2
Bugesera,29399,15479,13920,3.2,,3,3.4
East Province,171325,96352,74973,18.5,,18.4,18.5
Total,927739,523170,404569,100,,100,100
