Table 2.3. 1: Distribution of workers by economic activities and by sex,,,,,,
,,,,,,
 Economic Activities (ISIC level I),Count,,,Percentage,,
,Total ,Male ,Female,Total,Male ,Female
"Agriculture, forestry and fishing",23177,12401,10776,2.498224177273996,2.3703576275398057,2.6635753110099887
Mining and quarrying,32907,24836,8071,3.547010527745411,4.747214098667737,1.9949625403824813
Manufacturing,90549,50847,39702,9.76018039556384,9.719020586042777,9.8134063657868
"Electricity, gas, steam and air conditioning supply",2560,1640,920,0.27593967699967337,0.31347363189785343,0.22740249500085274
"Water supply, sewage, waste management and remediation activities",5405,3270,2135,0.5825992008528261,0.625035839210964,0.5277220943769789
Construction,8474,7270,1204,0.9134034464434502,1.3896056731081674,0.297600656501116
Whole sale and retail trade; repair of motor vehicles and motorcycles,244961,135018,109943,26.404085631842577,25.80767245828316,27.175339682476906
Transportation and storage,12427,9421,3006,1.339493111748024,1.8007531012863887,0.7430129347527863
Accommodation and food service activities,119683,68522,51161,12.900503266543714,13.097463539576045,12.64580331167242
Information and communication,7344,4609,2735,0.791601948392813,0.8809755911080528,0.6760280693775351
Financial and insurance activities,21204,11253,9951,2.285556605898857,2.150926085211308,2.4596545953842237
Real estate activities,948,631,317,0.10218391163894155,0.12061089129728386,0.07835499012529383
"Professional, scientific and technical activities",10596,7011,3585,1.1421315693314606,1.3400997763633236,0.8861282006283229
Administrative and support services activities,35633,23056,12577,3.8408431681755317,4.406980522583481,3.108740412636658
Public administration and defense; compulsory social security,34074,11280,22794,3.672800216440184,2.156086931590114,5.634143990271128
Education,161896,85240,76656,17.450597635757468,16.292983160349408,18.947571366071053
Human health and social work activities,44465,20792,23673,4.7928350538244056,3.974233996597664,5.8514122436469425
"Arts, entertainment and recreation",2824,1775,1049,0.3043959561902647,0.33927786379188407,0.25928827962597234
Other services activities,68612,44298,24314,7.395614499336559,8.467228625494581,6.009852460272537
Total,927739,523170,404569,100,100,100
