Table 2.3. 2: Distribution of workers (counts and percentages) by sex and by economic activities,,,,,,
,,,,,,
 Economic Activities,Count,,,Percentage,,
,Total ,Male ,Female,Total,Male ,Female
"Agriculture, forestry and fishing",23177,12401,10776,100,53.50563058204254,46.49436941795746
Mining and quarrying,32907,24836,8071,100,75.47330355243565,24.526696447564348
Manufacturing,90549,50847,39702,100,56.15412649504689,43.84587350495312
"Electricity, gas, steam and air conditioning supply",2560,1640,920,100,64.0625,35.9375
"Water supply, sewage, waste management and remediation activities",5405,3270,2135,100,60.49953746530989,39.5004625346901
Construction,8474,7270,1204,100,85.79183384470144,14.20816615529856
Whole sale and retail trade; repair of motor vehicles and motorcycles,244961,135018,109943,100,55.118161666551,44.881838333449
Transportation and storage,12427,9421,3006,100,75.81073469059307,24.189265309406938
Accommodation and food service activities,119683,68522,51161,100,57.25290976997569,42.74709023002431
Information and communication,7344,4609,2735,100,62.75871459694989,37.241285403050114
Financial and insurance activities,21204,11253,9951,100,53.07017543859649,46.92982456140351
Real estate activities,948,631,317,100,66.56118143459916,33.438818565400844
"Professional, scientific and technical activities",10596,7011,3585,100,66.1664779161948,33.833522083805214
Administrative and support services activities,35633,23056,12577,100,64.70406645525215,35.29593354474785
Public administration and defense; compulsory social security,34074,11280,22794,100,33.10441979221694,66.89558020778306
Education,161896,85240,76656,100,52.65108464693383,47.34891535306617
Human health and social work activities,44465,20792,23673,100,46.760373327336104,53.239626672663896
"Arts, entertainment and recreation",2824,1775,1049,100,62.85410764872521,37.14589235127479
Other services activities,68612,44298,24314,99.99999999999999,64.5630501953011,35.436949804698884
Total,927739,523170,404569,100,56.391937818718404,43.60806218128159
