Table 2.4. 2: Change of private establishments and business oriented mixed establishments from 2014 to 2023 by economic activity,,,,,,,
,,,,,,,
Economic Activity (ISIC level I),2014.0,2017.0,2020.0,2023.0,% change (2020-2023),,
"Agriculture, forestry and fishing",724.0,545.0,392.0,686.0,75,,75.0
Mining and quarrying,281.0,306.0,283.0,290.0,2.4734982332155475,,2.4734982332155475
Manufacturing,10730.0,14171.0,16580.0,17776.0,7.21351025331725,,7.21351025331725
"Electricity, gas, steam and air conditioning supply",20.0,127.0,58.0,69.0,18.96551724137931,,18.96551724137931
"Water supply, sewage, waste management and remediation activities",49.0,574.0,1185.0,1640.0,38.39662447257383,,38.39662447257383
Construction,156.0,156.0,169.0,192.0,13.609467455621301,,13.609467455621301
Whole sale and retail trade; repair of motor vehicles and motorcycles,78453.0,96002.0,133267.0,144528.0,8.449953852041391,,8.449953852041391
Transportation and storage,282.0,366.0,667.0,693.0,3.8980509745127434,,3.8980509745127434
Accommodation and food service activities,44621.0,51830.0,46093.0,61853.0,34.19174278089949,,34.19174278089949
Information and communication,397.0,1130.0,1133.0,2496.0,120.30008826125331,,120.30008826125331
Financial and insurance activities,1146.0,1530.0,2351.0,3991.0,69.75754997873246,,69.75754997873246
Real estate activities,4.0,103.0,143.0,130.0,-9.090909090909092,,-9.090909090909092
"Professional, scientific and technical activities",932.0,1207.0,1909.0,1811.0,-5.133577789418544,,-5.133577789418544
Administrative and support services activities,917.0,1401.0,1186.0,1464.0,23.440134907251263,,23.440134907251263
Education,499.0,1014.0,986.0,1631.0,65.41582150101421,,65.41582150101421
Human health and social work activities,458.0,617.0,917.0,929.0,1.3086150490730644,,1.3086150490730644
"Arts, entertainment and recreation",131.0,430.0,402.0,476.0,18.407960199004975,,18.407960199004975
Other services activities,8495.0,12355.0,18198.0,21365.0,17.403011319925266,,17.403011319925266
Total,148295.0,183864.0,225919.0,262020.0,15.97962101461143,,15.97962101461143
