Table 2.4. 3 : Change of private establishments and business oriented public and private partnership by economic activity according to location areas from 2014 to 2020,,,,,,,,,,
,,,,,,,,,,
Economic Activity (ISIC level I),Urban,,,,,Rural,,,,
,2014,2017.0,2020,2023.0,% change (2020-2023),2014,2017,2020,2023.0,% change (2020-2023)
"Agriculture, forestry and fishing",102,77.0,63,137.0,117.46031746031744,622,468,329,549.0,66.8693009118541
Mining and quarrying,35,33.0,44,69.0,56.81818181818181,246,273,239,221.0,-7.531380753138073
Manufacturing,5421,6530.0,6636,8795.0,32.53465943339362,5309,7641,9944,8981.0,-9.684231697506029
"Electricity, gas, steam and air conditioning supply",15,98.0,46,49.0,6.521739130434789,5,29,12,20.0,66.66666666666667
"Water supply, sewage, waste management and remediation activities",28,251.0,281,395.0,40.569395017793596,21,323,904,1245.0,37.721238938053105
Construction,142,149.0,146,186.0,27.397260273972602,14,7,23,6.0,-73.91304347826086
Whole sale and retail trade; repair of motor vehicles and motorcycles,36352,46047.0,61888,84345.0,36.28651758014478,42101,49955,71379,60183.0,-15.685285588198205
Transportation and storage,216,281.0,510,620.0,21.568627450980383,66,85,157,73.0,-53.503184713375795
Accommodation and food service activities,8076,10142.0,9628,18605.0,93.23847112588284,36545,41688,36465,43248.0,18.6013986013986
Information and communication,239,757.0,658,1652.0,151.06382978723403,158,373,475,844.0,77.6842105263158
Financial and insurance activities,631,877.0,1322,2394.0,81.089258698941,515,653,1029,1597.0,55.19922254616132
Real estate activities,3,98.0,121,119.0,-1.6528925619834656,1,5,22,11.0,-50
"Professional, scientific and technical activities",750,987.0,1524,1490.0,-2.2309711286089273,182,220,385,321.0,-16.62337662337663
Administrative and support services activities,639,942.0,780,1271.0,62.94871794871795,278,459,406,193.0,-52.46305418719213
Education,304,668.0,627,1249.0,99.20255183413079,195,346,359,382.0,6.406685236768794
Human health and social work activities,291,386.0,490,562.0,14.693877551020407,167,231,427,367.0,-14.051522248243565
"Arts, entertainment and recreation",111,331.0,252,410.0,62.698412698412696,20,99,150,66.0,-56.00000000000001
Other services activities,3374,5063.0,6938,10671.0,53.80513116171808,5121,7292,11260,10694.0,-5.026642984014207
Not stated,            -   ,3.0,            -   ,,, -  ,         -    ,         -    ,,
Total,56729,73720.0,91954,133019.0,44.65819866454967,91566,110147,133965,129001.0,-3.7054454521703417
