Table 2.4. 4: Change of private establishments and business oriented public and private partnership by district and province from 2014 to 2023,,,,,
,,,,,
District/Province,2014.0,2017.0,2020.0,2023.0,% change 
,,,,,(2020-2023)
Nyarugenge,11971.0,15665.0,19733.0,22445.0,13.7
Gasabo,11966.0,15793.0,19350.0,24705.0,27.7
Kicukiro,7831.0,11103.0,14593.0,16882.0,15.7
City of Kigali ,31768.0,42561.0,53676.0,64032.0,19.3
Nyanza,3197.0,3833.0,4736.0,5127.0,8.3
Gisagara,2453.0,2515.0,3870.0,4326.0,11.8
Nyaruguru,3132.0,3470.0,3636.0,4242.0,16.7
Huye,4357.0,4463.0,5552.0,6383.0,15
Nyamagabe,4103.0,4683.0,5993.0,6536.0,9.1
Ruhango,3355.0,3968.0,4888.0,5543.0,13.4
Muhanga,5789.0,7267.0,7430.0,7966.0,7.2
Kamonyi,4473.0,5893.0,7099.0,8664.0,22
South Province,30859.0,36092.0,43204.0,48787.0,12.9
Karongi,4308.0,4664.0,4909.0,5787.0,17.9
Rutsiro,4037.0,4803.0,5597.0,6222.0,11.2
Rubavu,6426.0,8744.0,11658.0,12807.0,9.9
Nyabihu,3493.0,3920.0,4390.0,4748.0,8.2
Ngororero,4018.0,4820.0,4865.0,6068.0,24.7
Rusizi,5090.0,6534.0,7486.0,8751.0,16.9
Nyamasheke,4178.0,4774.0,6123.0,6148.0,0.4
West Province,31550.0,38259.0,45028.0,50531.0,12.2
Rulindo,3593.0,4424.0,5013.0,5874.0,17.2
Gakenke,3881.0,4377.0,4956.0,5995.0,21
Musanze,6447.0,8775.0,11051.0,13043.0,18
Burera,3756.0,4512.0,4619.0,6007.0,30
Gicumbi,4995.0,6250.0,7694.0,8374.0,8.8
North Province,22672.0,28338.0,33333.0,39293.0,17.9
Rwamagana,4702.0,5892.0,7868.0,9430.0,19.9
Nyagatare,5855.0,6404.0,8253.0,9311.0,12.8
Gatsibo,4283.0,4686.0,6532.0,7236.0,10.8
Kayonza,3735.0,5082.0,6852.0,8085.0,18
Kirehe,3940.0,5634.0,6841.0,7393.0,8.1
Ngoma,3858.0,4503.0,5749.0,6995.0,21.7
Bugesera,5154.0,6416.0,8583.0,10927.0,27.3
East Province,31527.0,38617.0,50678.0,59377.0,17.2
Total,148376.0,183867.0,225919.0,262020.0,16
