Table 3. 10: Distribution of formal and informal enterprises by District and by Province,,,,,,
,,,,,,
DISTRICT/Province,Count,,,Percentage,,
,Total,Formal ,Informal,Total,Formal ,Informal
Nyarugenge,22130,4387,17743,8.5,13.8,7.7
Gasabo,24503,4628,19875,9.4,14.6,8.7
Kicukiro,16608,3007,13601,6.3,9.5,5.9
Kigali City,63241,12022,51219,24.2,37.8,22.3
Nyanza,5129,467,4662,2,1.5,2
Gisagara,4302,864,3438,1.6,2.7,1.5
Nyaruguru,4256,675,3581,1.6,2.1,1.6
Huye,6088,1223,4865,2.3,3.8,2.1
Nyamagabe,6571,600,5971,2.5,1.9,2.6
Ruhango,5579,546,5033,2.1,1.7,2.2
Muhanga,8016,705,7311,3.1,2.2,3.2
Kamonyi,8820,923,7897,3.4,2.9,3.4
South Province,48761,6003,42758,18.6,18.9,18.6
Karongi,5894,479,5415,2.3,1.5,2.4
Rutsiro,6332,314,6018,2.4,1,2.6
Rubavu,12650,1284,11366,4.8,4,4.9
Nyabihu,4828,300,4528,1.8,0.9,2
Ngororero,6163,408,5755,2.4,1.3,2.5
Rusizi,8563,785,7778,3.3,2.5,3.4
Nyamasheke,6038,542,5496,2.3,1.7,2.4
West Province,50468,4112,46356,19.3,12.9,20.2
Rulindo,5877,719,5158,2.2,2.3,2.2
Gakenke,6123,423,5700,2.3,1.3,2.5
Musanze,12934,1721,11213,4.9,5.4,4.9
Burera,6121,320,5801,2.3,1,2.5
Gicumbi,8507,945,7562,3.3,3,3.3
North Province,39562,4128,35434,15.1,13,15.4
Rwamagana,9432,898,8534,3.6,2.8,3.7
Nyagatare,9315,1171,8144,3.6,3.7,3.5
Gatsibo,7336,702,6634,2.8,2.2,2.9
Kayonza,8097,632,7465,3.1,2,3.2
Kirehe,7453,844,6609,2.8,2.7,2.9
Ngoma,6945,468,6477,2.7,1.5,2.8
Bugesera,10939,805,10134,4.2,2.5,4.4
East Province,59517,5520,53997,22.8,17.4,23.5
Total,261549,31785,229764,100,100,100
