Table 3. 11: Distribution of formal/informal enterprises according to year of starting operations in Rwanda,,,,,,
,,,,,,
Year of starting ,Count ,,,Percentage ,,
,Total ,Formal ,Informal ,Total ,Formal ,Informal 
Before 1970,1610,1492,118,0.6,4.7,0.1
1970 -1999,3375,1668,1707,1.3,5.2,0.7
2000 - 2011,13748,3524,10224,5.3,11.1,4.4
2012 - 2014,9785,2076,7709,3.7,6.5,3.4
2015 - 2017,22181,3288,18893,8.5,10.3,8.2
2018 - 2020,52707,6398,46309,20.2,20.1,20.2
2021 - 2023,142785,12682,130103,54.6,39.9,56.6
2024[1],15203,525,14678,5.8,1.7,6.4
Not stated,155,132,23,0.1,0.4,0
Total,261549,31785,229764,100,100,100
