Table 3. 12: Prevalence of formal and informal enterprises according to the year of starting operations,,,,,,
,,,,,,
Year of starting ,Counts,,,Percentage ,,
,Total ,Formal ,Informal ,Total ,Formal ,Informal 
Before 1970,1610,1492,118,100,92.7,7.3
1970 -1999,3375,1668,1707,100,49.4,50.6
2000 - 2011,13748,3524,10224,100,25.6,74.4
2012 - 2014,9785,2076,7709,100,21.2,78.8
2015 - 2017,22181,3288,18893,100,14.8,85.2
2018 - 2020,52707,6398,46309,100,12.1,87.9
2021 - 2023,142785,12682,130103,100,8.9,91.1
2024[1],15203,525,14678,100,3.5,96.5
Not stated,155,132,23,100,85.2,14.8
Total,261549,31785,229764,100,12.2,87.8
