Table 3. 15: Distribution of formal and informal enterprises in private and public private partnership which started operation in or before 2023 according to Turnover category in 2023,,,,,,
,,,,,,
Turnover ,Counts,,,Percentage,,
,Total ,Formal ,Informal ,Total ,Formal ,Informal 
Less than 300.000,103855,4128,99727,40.5,15,43.5
300.000 - <12.000.000,139332,15755,123577,54.3,57.3,53.9
12 million - <20 million,6983,2921,4062,2.7,10.6,1.8
20 million - < 50 million,2945,1781,1164,1.1,6.5,0.5
50 million - < 400 million,2194,1753,441,0.9,6.4,0.2
400 million - < 1billion,695,627,68,0.3,2.3,0
Above 1 billion,555,528,27,0.2,1.9,0
Total,256559,27493,229066,100,100,100
