Table 3. 17: Distribution of formal and informal employment by economic activity,,,,,,,
,,,,,,,
Economic activity ,Counts,,,Percentage,,,
(ISIC level I),Total ,Formal ,Informal ,Total ,,Formal,Informal
Mining and quarrying,32907,25594,7313,3.6378932566258584,,4.691085581061167,2.037194894337752
Manufacturing,90549,62128,28421,10.010259108828361,,11.387347229044627,7.91728648871506
Electricity gas steam and air conditioning supply,2560,2443,117,0.2830098987134105,,0.4477737780156455,0.03259288973574688
"Water supply; sewerage, waste management and remediation activities",5405,4103,1302,0.5975267588070248,,0.7520326693402347,0.3627003627003627
Construction,8474,7859,615,0.9368069850380627,,1.4404642330843054,0.17132159989302845
Wholesale and retail trade; repair of motor vehicles and motorcycles,244961,77089,167872,27.08062023388115,,14.129526309229675,46.76438962153247
Transportation and storage,12427,9768,2659,1.373814066918575,,1.790361958107583,0.7407221692935979
Accommodation and food service activities,119683,38660,81023,13.231044417076996,,7.085932975065434,22.570715427858286
Information and communication,7344,4314,3030,0.8118846469340962,,0.7907065404664326,0.8440722726437012
Financial and insurance activities,21204,17645,3559,2.3441179266871703,,3.2341253839893844,0.9914367057224199
Real estate activities,948,737,211,0.10480210311730981,,0.13508361620856763,0.058778630207201636
"Professional, scientific and technical activities",10596,7917,2679,1.1713956588934755,,1.451094965431791,0.7462936034364606
Administrative and support service activities,35633,31492,4141,3.939254578458967,,5.772121087707208,1.153565439279725
Public administration and defense; compulsory social security,34074,34055,19,3.766905972172167,,6.241889484372823,0.005292862435719578
Education,161896,154573,7323,17.897722875822776,,28.331451571515505,2.0399806114091827
Human health and social work activities,44465,40626,3839,4.915638729020233,,7.446278143947447,1.069436783722498
"Arts, entertainment and recreation",2824,1972,852,0.3121952945182309,,0.36144489981451206,0.23734309448595164
Other service activities,68612,24613,43999,7.585107488486139,,4.51127957359766,12.256876542590827
Total,904562,545588,358974,100,,100,100
