Table 3. 18: Distribution of formal and informal employment by district and province,,,,,,
,,,,,,
District/Province,Counts,,,Percentage ,,
,Total ,Formal ,Informal ,Total ,Formal ,Informal 
 Nyarugenge,89639,59616,30023,9.90965793389508,10.92692654530525,8.363558363558363
 Gasabo,129118,93455,35663,14.27409066487427,17.129225716108127,9.93470279184565
 Kicukiro,74969,51916,23053,8.287878553377215,9.515605181932154,6.4219135647707075
City of Kigali ,293726,204987,88739,32.47162715214657,37.571757443345525,24.72017472017472
 Nyanza,14391,7596,6795,1.5909357235877695,1.3922593605431204,1.8928947500376072
 Gisagara,13451,8149,5302,1.4870180264039392,1.4936178948217336,1.4769871912729056
 Nyaruguru,17660,12455,5205,1.9523260981557926,2.282858127378168,1.4499657356800213
 Huye,24481,15039,9442,2.706392707188672,2.756475582307529,2.630274058845487
 Nyamagabe,20780,12275,8505,2.2972444122127613,2.2498661994032125,2.369252369252369
 Ruhango,16312,9282,7030,1.8033036983645123,1.7012837525752031,1.9583591012162442
 Muhanga,22021,11351,10670,2.4344378826437545,2.0805076357984413,2.972360115217258
 Kamonyi,24023,11595,12428,2.655760467496976,2.125230027053381,3.4620891763748904
South Province,153119,87742,65377,16.92741901605418,16.08209857988079,18.212182497896784
 Karongi,23737,16465,7272,2.6241429553750875,3.017844967264676,2.025773454344883
 Rutsiro,19010,10130,8880,2.1015695994304426,1.8567123910349936,2.473716759431045
 Rubavu,32752,14918,17834,3.620757891664695,2.7342976751688086,4.968047825190682
 Nyabihu,21054,14299,6755,2.3275353154344316,2.620842100632712,1.881751881751882
 Ngororero,22725,14856,7869,2.5122656047899423,2.722933788866324,2.192080763509335
 Rusizi,25419,13290,12129,2.8100893028891334,2.4359040154842115,3.378796235939093
 Nyamasheke,22018,14479,7539,2.4341062304187,2.653834028607667,2.1001521001521
West Province,166715,98437,68278,18.430466900002433,18.042368967059392,19.02031902031902
 Rulindo,28522,20931,7591,3.1531282543374584,3.836411358021071,2.1146378289235432
 Gakenke,20931,10855,10076,2.313937574207185,1.989596545378564,2.8068885211742356
 Musanze,35161,16766,18395,3.887074628383682,3.0730148023783515,5.124326552897982
 Burera,17840,8741,9099,1.9722252316590791,1.602124680161587,2.534723963295392
 Gicumbi,22423,11756,10667,2.478879280801095,2.154739473742091,2.9715244000958285
North Province,124877,69049,55828,13.8052449693885,12.655886859681665,15.55210126638698
 Rwamagana,26737,14735,12002,2.9557951804298654,2.700755881727604,3.3434176291319146
 Nyagatare,26634,14707,11927,2.944408454036318,2.695623804042611,3.32252475109618
 Gatsibo,22786,12715,10071,2.519009200032723,2.330513134453104,2.8054956626385197
 Kayonza,22817,11522,11295,2.522436273024956,2.111849967374649,3.1464674321817183
 Kirehe,20896,10181,10715,2.3100682982482126,1.8660601039612308,2.984895842038699
 Ngoma,18054,8723,9331,1.9958830903796534,1.5988254873640917,2.599352599352599
 Bugesera,28201,12790,15411,3.117641466256597,2.344259771109335,4.293068578782864
East Province,166125,85373,80752,18.365241962408327,15.647888150032626,22.495222495222496
Rwanda,904562,545588,358974,100,100,100
