Table 3. 19: Change of private enterprises and business-oriented public and private partnerships in formal and informal between 2017 and 2023 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Economic Activity (ISIC level I),Total,,,,Formal,,,,Informal,,,,
,2017,2020.0,2023.0,% change (2020-2023) ,2017,2020.0,2023.0,% change (2020-2023),2017,,2020.0,2023.0,% change (2020-2023)
Mining and quarrying,270,240.0,154.0,-35.8,122,109.0,126.0,26,148,,131.0,121.0,-7.633587786259542
Manufacturing,14038,16247.0,17177.0,5.7,1057,1223.0,1751.0,43.17252657399837,12981,,15024.0,15787.0,5.078541001064963
Electricity gas steam and air conditioning supply,60,41.0,29.0,-29.3,37,36.0,19.0,-47.22222222222222,23,,5.0,10.0,100
"Water supply; sewerage, waste management and remediation activities",445,998.0,1136.0,13.8,41,296.0,478.0,61.48648648648649,404,,702.0,665.0,-5.270655270655271
Construction,152,156.0,181.0,16,119,118.0,122.0,3.389830508474576,33,,38.0,63.0,65.78947368421053
Wholesale and retail trade; repair of motor vehicles and motorcycles,95136,130740.0,141895.0,8.5,6719,8394.0,14654.0,74.57707886585656,88417,,122346.0,127700.0,4.376113644908702
Transportation and storage,289,545.0,450.0,-17.4,118,348.0,319.0,-8.333333333333332,171,,197.0,214.0,8.629441624365482
Accommodation and food service activities,51678,45465.0,61275.0,34.8,1982,1999.0,4486.0,124.41220610305153,49696,,43466.0,56808.0,30.69525606220954
Information and communication,1080,1060.0,330.0,-68.9,151,174.0,382.0,119.54022988505749,929,,886.0,1986.0,124.15349887133182
Financial and insurance activities,1006,1687.0,3182.0,88.6,705,709.0,776.0,9.449929478138223,301,,978.0,2438.0,149.2842535787321
Real estate activities,100,139.0,115.0,-17.3,70,71.0,74.0,4.225352112676056,30,,68.0,53.0,-22.058823529411764
"Professional, scientific and technical activities",1190,1835.0,1703.0,-7.2,459,493.0,522.0,5.88235294117647,731,,1342.0,1251.0,-6.780923994038749
Administrative and support service activities,1381,1135.0,4138.0,264.6,349,312.0,437.0,40.06410256410257,1032,,823.0,1018.0,23.693803159173754
Education,948,884.0,5092.0,476,619,575.0,4402.0,665.5652173913044,329,,309.0,706.0,128.4789644012945
Human health and social work activities,591,822.0,1413.0,71.9,332,456.0,1021.0,123.90350877192982,259,,366.0,410.0,12.021857923497267
"Arts, entertainment and recreation",250,272.0,316.0,16.2,47,41.0,75.0,82.92682926829268,203,,231.0,251.0,8.658008658008658
Other service activities,12129,17548.0,22447.0,27.9,636,864.0,1750.0,102.5462962962963,11493,,16684.0,19915.0,19.36585950611364
Not stated ,3,,,,3,,,,,,,,
Total,180746,219814.0,261033.0,19,13566,16218.0,31394.0,93.57504007892466,167180,,203596.0,229396.0,12.672154659227097
