Table 3. 20: Prevalence of formal/informal enterprises by economic activity,,,,,,
,,,,,,
Economic Activity  ,Counts ,,,Percentage ,,
(ISIC level  I),Total ,Formal ,Informal,Total ,Formal ,Informal 
"Agriculture, forestry and fishing",637,271,366,100,42.54317111459969,57.45682888540031
Mining and quarrying,247,126,121,100,51.012145748987855,48.987854251012145
Manufacturing,17529,1742,15787,100,9.937817331279595,90.0621826687204
"Electricity, gas, steam and air conditioning supply",29,19,10,100,65.51724137931035,34.48275862068966
"Water supply, sewage, waste management and remediation activities",1144,479,665,100,41.870629370629366,58.12937062937063
Construction,183,120,63,100,65.57377049180327,34.42622950819672
Whole sale and retail trade; repair of motor vehicles and motorcycles,142365,14665,127700,100,10.300986899870052,89.69901310012995
Transportation and storage,532,318,214,100,59.77443609022557,40.225563909774436
Accommodation and food service activities,61295,4487,56808,100,7.320336079614977,92.67966392038502
Information and communication,2368,382,1986,100,16.131756756756758,83.86824324324324
Financial and insurance activities,3215,777,2438,100,24.167962674961117,75.83203732503888
Real estate activities,127,74,53,100,58.26771653543307,41.732283464566926
"Professional, scientific and technical activities",1772,521,1251,100,29.401805869074494,70.5981941309255
Administrative and support services activities,1455,437,1018,100,30.034364261168385,69.96563573883161
Public administration and defense; compulsory social security,122,120,2,100,98.36065573770492,1.639344262295082
Education,5108,4402,706,100,86.17854346123728,13.821456538762725
Human health and social work activities,1430,1020,410,100,71.32867132867133,28.671328671328673
"Arts, entertainment and recreation",326,75,251,100,23.006134969325153,76.99386503067484
Other services activities,21665,1750,19915,100,8.077544426494345,91.92245557350566
Total,261549,31785,229764,100,12.152598557058141,87.84740144294186
