Table 3. 6: Distribution of formal or informal enterprises by economic activity,,,,,,
,,,,,,
Economic Activity ,Count,,,Percentage,,
,Total,Formal ,Informal,Total,Formal ,Informal
"Agriculture, forestry and fishing",637,271,366,0.2,0.9,0.2
Mining and quarrying,247,126,121,0.1,0.4,0.1
Manufacturing,17529,1742,15787,6.7,5.5,6.9
"Electricity, gas, steam and air conditioning supply",29,19,10,0,0.1,0
"Water supply, sewage, waste management and remediation activities",1144,479,665,0.4,1.5,0.3
Construction,183,120,63,0.1,0.4,0
Whole sale and retail trade; repair of motor vehicles and motorcycles,142365,14665,127700,54.4,46.1,55.6
Transportation and storage,532,318,214,0.2,1,0.1
Accommodation and food service activities,61295,4487,56808,23.4,14.1,24.7
Information and communication,2368,382,1986,0.9,1.2,0.9
Financial and insurance activities,3215,777,2438,1.2,2.4,1.1
Real estate activities,127,74,53,0,0.2,0
"Professional, scientific and technical activities",1772,521,1251,0.7,1.6,0.5
Administrative and support services activities,1455,437,1018,0.6,1.4,0.4
Public administration and defense; compulsory social security,122,120,2,0,0.4,0
Education,5108,4402,706,2,13.8,0.3
Human health and social work activities,1430,1020,410,0.5,3.2,0.2
"Arts, entertainment and recreation",326,75,251,0.1,0.2,0.1
Other services activities,21665,1750,19915,8.3,5.5,8.7
Total,261549,31785,229764,100,100,100
