Table 3. 7: Prevalence of formal/informal enterprises by economic activity,,,,,,
,,,,,,
Economic Activity ,Count,,,Percentage,,
,Total,Formal ,Informal,Total,Formal ,Informal
"Agriculture, forestry and fishing",637,271,366,100,42.5,57.5
Mining and quarrying,247,126,121,100,51,49
Manufacturing,17529,1742,15787,100,9.9,90.1
"Electricity, gas, steam and air conditioning supply",29,19,10,100,65.5,34.5
"Water supply, sewage, waste management and remediation activities",1144,479,665,100,41.9,58.1
Construction,183,120,63,100,65.6,34.4
Whole sale and retail trade; repair of motor vehicles and motorcycles,142365,14665,127700,100,10.3,89.7
Transportation and storage,532,318,214,100,59.8,40.2
Accommodation and food service activities,61295,4487,56808,100,7.3,92.7
Information and communication,2368,382,1986,100,16.1,83.9
Financial and insurance activities,3215,777,2438,100,24.2,75.8
Real estate activities,127,74,53,100,58.3,41.7
"Professional, scientific and technical activities",1772,521,1251,100,29.4,70.6
Administrative and support services activities,1455,437,1018,100,30,70
Public administration and defense; compulsory social security,122,120,2,100,98.4,1.6
Education,5108,4402,706,100,86.2,13.8
Human health and social work activities,1430,1020,410,100,71.3,28.7
"Arts, entertainment and recreation",326,75,251,100,23,77
Other services activities,21665,1750,19915,100,8.1,91.9
Total,261549,31785,229764,100,12.2,87.8
