Table 4.26A: Distribution of enterprises by size and age of manager,,,,,
,,,,,
Age of manager,Size based on number of workers,,,,
,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
15-24,28341,27805,527,8,1
25-29,41256,39833,1377,41,5
30-34,49557,46814,2532,190,21
35-39,44135,40589,3025,466,55
40-44,39678,35676,3184,716,102
45-49,22852,19834,2241,676,101
50-54,15824,13509,1745,492,78
55-59,8898,7597,1016,238,47
60-64,6120,5289,634,170,27
65 +,4755,4232,431,66,26
Not stated,1,1,0,0,0
Total,261417,241179,16712,3063,463
