Table 4.29: Distribution of enterprises by year of starting operations and by size,,,,,
,,,,,
Year of starting operations,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
Before 1970,1610,80,596,889,45
1970-1972,112,26,30,53,3
1973-1975,186,47,60,72,7
1976-1978,154,34,54,62,4
1979-1981,193,67,56,63,7
1982-1984,225,82,66,63,14
1985-1987,298,117,90,85,6
1988-1990,288,153,84,49,2
1991-1993,286,133,82,67,4
1994-1996,646,399,149,84,14
1997-1999,987,602,236,140,9
2000-2002,2306,1888,316,90,12
2003-2005,2199,1724,359,99,17
2006-2008,2971,2293,514,125,39
2009-2011,6272,4808,1210,196,58
2012-2014,9785,8222,1259,239,65
2015-2017,22181,19953,1947,212,69
2018-2020,52707,49079,3356,214,58
2021-2023,142785,136492,6010,253,30
2024,15203,14957,238,8,0
Not stated,155,23,18,40,74
Total,261549,241179,16730,3103,537
