Table 4.33B: Distribution of establishments by economic activity and age of manager,,,,
,,,,
Economic activity,Age group of manager,,,
,Total,15 and below,16-30,31 +
Agriculture forestry and fishing,706,0,86,620
Mining and quarrying,295,0,23,272
Manufacturing,17826,1,5289,12536
Electricity gas steam and air conditioning supply,75,0,8,67
"Water supply; sewerage, waste management and remediation activities",1938,1,315,1622
Construction,200,0,26,174
Wholesale and retail trade; repair of motor vehicles and motorcycles,144659,8,46618,98033
Transportation and storage,707,0,81,626
Accommodation and food service activities,61922,6,18653,43263
Information and communication,2511,0,1126,1385
Financial and insurance activities,4063,0,1524,2539
Real estate activities,132,0,20,112
"Professional, scientific and technical activities",1853,0,445,1408
Administrative and support service activities,1552,0,309,1243
Public administration and defense; compulsory social security,14,0,1,13
Education,5441,0,316,5125
Human health and social work activities,1851,0,121,1730
"Arts, entertainment and recreation",500,0,204,296
Other service activities,22949,5,10019,12925
Total,269194,21,85184,183989
