Table 4.39: Distribution of business-oriented establishments by economic activity and employed capital,,,,,,,,
,,,,,,,,
Economic activity,Current employed capital,,,,,,,
,Total,Less than 300.000,300.000 - <12.000.000,12 million - <20 million,20 million - < 50 million,50 million - < 400 million,400 million - < 1billion,Above 1 billion
"Agriculture, Forestry and Fishing",624,193,262,65,40,40,12,12
Mining And Quarrying,242,10,121,39,22,29,9,12
Manufacturing,17479,9548,7077,401,143,145,47,118
"Electricity, gas, steam and air conditioning supply",27,4,6,3,0,3,1,10
"Water supply; sewerage, waste management and remediation activities",678,512,149,5,4,4,3,1
Construction,182,6,69,32,22,22,17,14
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,142179,73976,61847,3811,1448,799,192,106
Transportation And Storage,522,57,248,79,56,48,8,26
Accommodation And Food Service Activities,61225,46165,13892,675,264,142,61,26
Information And Communication,2350,802,1443,52,23,20,4,6
Financial And Insurance Activities,3163,1426,1239,100,95,205,69,29
Real Estate Activities,125,10,45,15,11,17,17,10
"Professional, Scientific And Technical Activities",1734,497,1024,111,60,31,7,4
Administrative And Support Service Activities,1410,243,927,111,38,53,15,23
Education,1413,168,706,202,137,131,52,17
Human Health And Social Work Activities,799,118,499,60,46,46,22,8
"Arts, Entertainment And Recreation",313,107,167,20,9,5,3,2
Other Service Activities,20846,15941,4597,175,68,43,16,6
Total,255311,149783,94318,5956,2486,1783,555,430
