Table 4.42: Employment by Nationality and economic activity,,,
,,,
Economic activity ,Nationality,,
,Total ,Rwandan ,Foreigner 
"Agriculture, Forestry and Fishing",25955,25732,223
Mining And Quarrying,32907,32870,37
Manufacturing,106374,105220,1154
"Electricity, gas, steam and air conditioning supply",2730,2672,58
"Water supply; sewerage, waste management and remediation activities",5090,5085,5
Construction,9423,8940,483
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,233752,231538,2214
Transportation And Storage,12514,12374,140
Accommodation And Food Service Activities,113463,112507,956
Information And Communication,7344,7220,124
Financial And Insurance Activities,16074,15946,128
Real Estate Activities,948,926,22
"Professional, Scientific And Technical Activities",10661,10457,204
Administrative And Support Service Activities,36360,36121,239
Public Administration And Defence; Compulsory Social Security,34074,33934,140
Education,161896,158231,3665
Human Health And Social Work Activities,46738,45510,1228
"Arts, Entertainment And Recreation",2824,2786,38
Other Service Activities,68612,67774,838
Total,927739,915843,11896
