Table 4.47: Employment opportunities change in private establishments and business oriented public and private partnership by economic activity from 2014 to 2023,,,,
,,,,
Economic Activity (ISIC level I),2014.0,2017.0,2020.0,2023.0
"Agriculture, forestry and fishing",14933.0,31999.0,16813.0,9735.0
Mining and quarrying,38787.0,14772.0,15794.0,27987.0
Manufacturing,1524.0,66931.0,73538.0,91095.0
"Electricity, gas, steam and air conditioning supply",695.0,1934.0,1163.0,2558.0
"Water supply, sewage, waste management and remediation activities",4906.0,2857.0,5143.0,4943.0
Construction,118797.0,8546.0,4657.0,8567.0
Whole sale and retail trade; repair of motor vehicles and motorcycles,4652.0,142126.0,188672.0,243111.0
Transportation and storage,81285.0,11774.0,11657.0,9633.0
Accommodation and food service activities,1836.0,93568.0,83753.0,119591.0
Information and communication,17749.0,3137.0,3762.0,3269.0
Financial and insurance activities,9.0,12356.0,12658.0,21066.0
Real estate activities,2896.0,683.0,1296.0,757.0
"Professional, scientific and technical activities",11247.0,4688.0,6758.0,10250.0
Administrative and support services activities,,22347.0,20443.0,44436.0
Public Administration And Defence; Compulsory Social Security,36132.0,26210.0,31010.0,35083.0
Education,16575.0,95867.0,108341.0,161726.0
Human health and social work activities,919.0,29831.0,38572.0,44013.0
"Arts, entertainment and recreation",17535.0,1753.0,1365.0,2797.0
Other services activities,,45320.0,80745.0,87122.0
Not stated ,,38.0,,
Total,370477.0,616737.0,706140.0,927739.0
