Table 4.49: Distribution of employees in enterprises by district and by location in 2020 and 2023,,,,,,
,,,,,,
District/Province,2020,,,2023,,
,Counts,,,Counts,,
,Total,Urban,Rural,Total,Urban,Rural
Nyarugenge,63857,60110,3747,86047,82423,3624
Gasabo,85813,79334,6479,126848,120837,6011
Kicukiro,43606,40554,3052,72149,72075,74
Kigali City,193276,179998,13278,285044,275335,9709
Nyanza,13522,4182,9340,13244,4359,8885
Gisagara,12250,1169,11081,14448,2019,12429
Nyaruguru,13062,1106,11956,12160,1305,10855
Huye,25950,12859,13091,21168,10286,10882
Nyamagabe,13946,2984,10962,19314,5006,14308
Ruhango,11684,4689,6995,15917,6429,9488
Muhanga,17642,7927,9715,20162,9420,10742
Kamonyi,14611,3968,10643,23715,10592,13123
South Province,122667,38884,83783,140128,49416,90712
Karongi,14499,3635,10864,21951,6862,15089
Rutsiro,11906,985,10921,18575,1966,16609
Rubavu,29467,19690,9777,31801,23965,7836
Nyabihu,10494,3583,6911,14865,7888,6977
Ngororero,11107,2530,8577,16638,2597,14041
Rusizi,19563,7879,11684,22756,12114,10642
Nyamasheke,18535,1012,17523,19785,3529,16256
West Province,115571,39314,76257,146371,58921,87450
Rulindo,22208,4116,18092,26977,4776,22201
Gakenke,13262,2791,10471,17982,4027,13955
Musanze,25829,16126,9703,31868,22997,8871
Burera,10445,1046,9399,16161,3439,12722
Gicumbi,20988,4088,16900,23732,4633,19099
North Province,92732,28167,64565,116720,39872,76848
Rwamagana,18667,4784,13883,24743,10983,13760
Nyagatare,19426,5551,13875,25567,12924,12643
Gatsibo,16249,2897,13352,21822,5239,16583
Kayonza,17725,4349,13376,20416,6480,13936
Kirehe,15241,2121,13120,19849,3392,16457
Ngoma,16631,2849,13782,16509,4476,12033
Bugesera,20920,5534,15386,27318,16773,10545
East Province,124859,28085,96774,156224,60267,95957
Rwanda,649105,314448,334657,844487,483811,360676
