Table 4.7: Distribution of enterprises by institutional sector and registration status,,,,,,,,
,,,,,,,,
Institutional sector,,Total,Private sector,Cooperative,Public sector,Public Private Partnership,NGO ,NGO
,,,,,,,(Rwanda),(International)
Sector,Total,261549,253016,2286,3076,1753,1119,299
,Yes,194332,187503,1631,2851,1367,784,196
District,Total,261549,253016,2286,3076,1753,1119,299
,Yes,185496,178451,1635,2852,1501,831,226
Rwanda cooperative Agency (RCA) only Cooperative,Total,2286,- ,2286,- ,- ,- ,- 
,Yes,1193, -,1193,- ,- ,- ,- 
Private sector Federation (PSF),Total,253016,253016,- ,- ,- ,- ,- 
,Yes,28389,28389,- ,- ,- ,- ,- 
Rwanda Governance Board (RGB) only NGO,Total,1418,- ,- ,- ,- ,1119,299
,Yes,750,- ,- ,- ,- ,588,162
Social Security Board (RSSB),Total,261549,253016,2286,3076,1753,1119,299
,Yes,10663,4908,480,3076,1753,352,94
 Rwanda Development Board (RDB),Total,261549,253016,2286,3076,1753,1119,299
,Yes,161221,154828,1186,2856,1752,487,112
Rwanda Revenue Authority (RRA),Total,261549,253016,2286,3076,1753,1119,299
,Yes,238167,230646,1843,2985,1752,746,195
Directorate of Immigration and Emigration,Total,261549,253016,2286,3076,1753,1119,299
,Yes,955,913,11,0,11,8,12
