Table 4. 10A: Distribution of establishments by institutional sector and age of manager,,,,,,,
,,,,,,,
Age group of manager,Institutional sector,,,,,,
,Total,Private sector,Cooperative,Public sector,Public Private Partnership,NGO (Rwanda),NGO (International)
15-24,28731,28523,77,69,19,26,17
25-29,41974,41603,109,126,48,55,33
30-34,50792,49792,238,373,138,175,76
35-39,45477,43760,379,656,293,284,105
40-44,41090,38820,515,781,475,362,137
45-49,23825,21931,414,675,412,306,87
50-54,16557,14989,333,480,331,334,90
55-59,9352,8380,204,281,196,237,54
60-64,6409,5818,136,163,111,148,33
65 +,4986,4663,91,94,24,90,24
Not stated,1,1,0,0,0,0,0
Total,269194,258280,2496,3698,2047,2017,656
