Table 4. 12: Distribution of establishments by institutional sector and year of starting operations,,,,,,,
,,,,,,,
Year of starting operations,Institutional sector,,,,,,
,Total,Private sector,Cooperative,Public sector,Public Private Partnership,NGO (Rwanda),NGO (International)
Below 1970,1888,192,5,604,803,241,43
1970-1972,142,46,3,55,16,18,4
1973-1975,257,85,3,75,49,38,7
1976-1978,190,53,7,67,32,26,5
1979-1981,238,99,2,73,40,17,7
1982-1984,279,121,2,76,40,30,10
1985-1987,384,160,6,96,43,62,17
1988-1990,343,196,4,61,30,41,11
1991-1993,352,168,10,41,52,74,7
1994-1996,758,522,5,72,47,97,15
1997-1999,1140,730,14,171,68,142,15
2000-2002,2456,2146,37,102,54,95,22
2003-2005,2424,2055,49,116,68,105,31
2006-2008,3324,2791,133,158,76,120,46
2009-2011,6691,5627,631,197,86,109,41
2012-2014,10414,9586,288,214,93,163,70
2015-2017,23024,22121,344,193,87,209,70
2018-2020,54083,52854,392,405,132,217,83
2021-2023,145402,143415,520,891,225,200,151
2024,15382,15290,41,31,6,13,1
Not stated,155,23,0,132,0,0,0
Total,269326,258280,2496,3830,2047,2017,656
