Table 4. 17: Distribution of enterprise by District and size,,,,,
,,,,,
District/Province,Size based on workers,,,,
,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
 Nyarugenge,22130,19454,2403,199,74
 Gasabo,24503,21240,2819,324,120
 Kicukiro,16608,14765,1621,161,61
City of Kigali ,63241,55459,6843,684,255
 Nyanza,5129,4801,238,84,6
 Gisagara,4302,3963,259,71,9
 Nyaruguru,4256,3973,216,63,4
 Huye,6088,5468,515,91,14
 Nyamagabe,6571,6182,310,70,9
 Ruhango,5579,5236,252,81,10
 Muhanga,8016,7491,427,86,12
  Kamonyi,8820,8257,440,105,18
South Province,48761,45371,2657,651,82
 Karongi,5894,5461,323,101,9
 Rutsiro,6332,6018,214,86,14
 Rubavu,12650,11809,714,116,11
 Nyabihu,4828,4545,212,60,11
 Ngororero,6163,5878,201,78,6
 Rusizi,8563,7915,524,115,9
 Nyamasheke,6038,5605,353,72,8
West Province,50468,47231,2541,628,68
 Rulindo,5877,5477,296,87,17
 Gakenke,6123,5758,276,82,7
 Musanze,12934,12134,664,118,18
 Burera,6121,5776,263,77,5
 Gicumbi,8507,8058,337,101,11
North Province,39562,37203,1836,465,58
 Rwamagana,9432,8949,371,99,13
 Nyagatare,9315,8708,506,90,11
 Gatsibo,7336,6826,376,125,9
 Kayonza,8097,7635,369,83,10
 Kirehe,7453,6991,371,78,13
 Ngoma,6945,6585,266,86,8
 Bugesera,10939,10221,594,114,10
East Province,59517,55915,2853,675,74
Rwanda,261549,241179,16730,3103,537
