Table 4. 18: Distribution of enterprises by economic activity and size,,,,,
,,,,,
Economic activity,Size based on workers,,,,
,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
Agriculture forestry and fishing,637,299,233,69,36
Mining and quarrying,247,36,123,45,43
Manufacturing,17538,15562,1730,174,72
Electricity gas steam and air conditioning supply,29,9,9,6,5
"Water supply; sewerage, waste management and remediation activities",1143,1100,27,11,5
Construction,185,88,74,10,13
Wholesale and retail trade; repair of motor vehicles and motorcycles,142354,138572,3521,213,48
Transportation and storage,533,217,242,46,28
Accommodation and food service activities,61294,57504,3656,113,21
Information and communication,2368,2220,128,13,7
Financial and insurance activities,3214,2690,486,22,16
Real estate activities,127,72,48,7,0
"Professional, scientific and technical activities",1773,1465,275,26,7
Administrative and support service activities,1455,1162,242,26,25
Public administration and defense; compulsory social security,122,2,20,37,63
Education,5108,362,2675,2020,51
Human health and social work activities,1431,434,792,144,61
"Arts, entertainment and recreation",326,262,55,7,2
Other service activities,21665,19123,2394,114,34
Total,261549,241179,16730,3103,537
