Table 4. 2: Distribution of establishments by economic activity and institutional sector,,,,,,,
,,,,,,,
Economic Activity,Total,Private sector,Cooperative,Public sector,Public Private Partnership,NGO  (Rwanda),NGO 
,,,,,,,(International)
Agriculture forestry and fishing,416,302,92,5,3,8,6
Mining and quarrying,191,161,24,0,3,2,1
Manufacturing,17462,17039,346,29,20,20,8
Electricity gas stream and air conditioning supply,75,40,0,29,6,0,0
"Water supply, gas and remediation services",1925,889,10,743,136,46,101
Construction,195,185,4,0,1,2,3
Whole sale and retail trade; repair of motor vehicles and motorcycles,144193,143330,558,135,68,70,32
Transportation and storage,604,513,61,12,11,4,3
Accommodation and food services activities,61904,61755,62,31,11,38,7
Information and communication,411,388,3,7,4,8,1
Financial and insurance activities,4026,3490,391,66,38,21,20
Real estate activities,120,108,9,2,0,1,0
"Professional, scientific and technical activities",1779,1708,26,10,3,18,14
Administrative and support activities,4365,4142,71,36,15,75,26
Public administration and defence; compulsory social security,160,24,3,126,1,2,4
Education,5434,1533,24,2147,1413,237,80
Human health and social work activities,1826,858,10,407,218,193,140
"Arts, entertainment and recreation",487,456,5,3,3,14,6
Other services,23753,21358,797,42,94,1258,204
Total,269326,258279,2496,3830,2048,2017,656
