Table 4. 22: Distribution of business-oriented enterprises by size and employed capital,,,,,
,,,,,
Employed capital,Size based on number of workers,,,,
,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
Less than 300.000,149781,148056,1648,57,20
300.000 - <12.000.000,94311,85983,7992,279,57
12 million - <20 million,5956,4060,1738,129,29
20 million - < 50 million,2486,1300,1047,111,28
50 million - < 400 million,1783,530,998,204,51
400 million - < 1billion,555,73,314,119,49
Above 1 billion,430,37,139,132,122
Total,255302,240039,13876,1031,356
