Table 4. 23: Distribution of establishments by registration status at different levels and size,,,,,,
,,,,,,
Level of registration,,Total,Size based on number of workers,,,
,,,Micro(1-3),Small(4-30),Medium (31-100),Large(100+)
Sector,Total,269326,245933,19404,3389,600
,Yes,199911,183283,13532,2719,377
District,Total,269326,245933,19404,3389,600
,Yes,191278,174057,13932,2874,415
Rwanda cooperative Agency (RCA) only Cooperative,Total,2496,756,1384,249,107
,Yes,1296,322,756,150,68
Private sector Federation (PSF),Total,258279,242839,14245,907,288
,Yes,29775,25491,3701,404,179
Rwanda Governance Board (RGB) only NGO,Total,2673,1058,1391,194,30
,Yes,1355,435,780,120,20
Social Security Board (RSSB),Total,269326,245933,19404,3389,600
,Yes,13245,4143,6003,2682,417
Rwanda Development Board (RDB),Total,269326,245933,19404,3389,600
,Yes,166543,149046,14156,2914,427
Rwanda Revenue Authority (RRA),Total,269326,245933,19404,3389,600
,Yes,244708,223334,17634,3182,558
Directorate of Immigration and Emigration,Total,269326,245933,19404,3389,600
,Yes,1137,650,369,76,42
