Table 4. 28A: Distribution of sole proprietor enterprises by age of owner and size,,,,,
,,,,,
Age of owner,Size based on number of workers,,,,
,Total,Micro(1-3),Small(4-30),Medium(31-100),Large(100+)
15-24,26746,26325,419,2,0
25-29,38795,37722,1057,15,1
30-34,46013,44210,1767,33,3
35-39,40089,38111,1910,60,8
40-44,35462,33494,1883,73,12
45-49,19828,18493,1247,70,18
50-54,13530,12573,894,56,7
55-59,7538,7033,473,23,9
60-64,5237,4900,307,25,5
65 +,4217,3926,263,22,6
Total ,237455,226787,10220,379,69
