Table 4. 3: Distribution of establishments by institutional sector and district/province,,,,,,,
,,,,,,,
District/ Province,Total,Private sector,Cooperative,Public sector,Public Private Partnership,NGO (Rwanda),(International)
Nyarugenge,22704,22244,157,113,44,104,42
Gasabo,25110,24514,151,150,49,177,69
Kicukiro,17070,16794,73,67,20,86,30
City of Kigali ,64884,63552,381,330,113,367,141
Nyanza,5364,5010,57,146,60,78,13
Gisagara,4519,4062,78,279,59,36,5
Nyaruguru,4474,4123,84,86,94,69,18
Huye,6727,6088,119,260,89,66,105
Nyamagabe,6814,6421,59,129,96,91,18
Ruhango,5730,5464,48,92,74,37,15
Muhanga,8237,7873,68,123,86,62,25
Kamonyi,8955,8531,71,151,75,106,21
South Province,50820,47572,584,1266,633,545,220
Karongi,6077,5724,51,93,124,70,15
Rutsiro,6432,6158,53,91,68,36,26
Rubavu,13008,12654,114,126,49,55,10
Nyabihu,4917,4679,51,73,77,25,12
Ngororero,6263,6011,47,97,55,44,9
Rusizi,9017,8600,117,98,118,63,21
Nyamasheke,6454,6055,78,91,152,49,29
West Province,52168,49881,511,669,643,342,122
Rulindo,6081,5789,77,121,37,53,4
Gakenke,6204,5903,83,114,73,24,7
Musanze,13240,12907,90,96,85,51,11
Burera,6233,5923,64,112,62,61,11
Gicumbi,8641,8241,116,139,67,64,14
North Province,40399,38763,430,582,324,253,47
Rwamagana,9612,9336,67,93,44,62,10
Nyagatare,9542,9088,99,253,34,54,14
Gatsibo,7505,7151,77,128,59,77,13
Kayonza,8353,7959,71,137,81,78,27
Kirehe,7604,7300,86,126,15,55,22
Ngoma,7224,6882,79,128,50,72,13
Bugesera,11215,10796,111,118,51,112,27
East Province,61055,58512,590,983,334,510,126
Rwanda,269326,258280,2496,3830,2047,2017,656
