Table 4. 32: Distribution of establishments by economic activity and by sex of manager,,,
,,,
Economic activity,Manager sex,,
,Total,Male,Female
Agriculture forestry and fishing,706,565,141
Mining and quarrying,295,247,48
Manufacturing,17825,9998,7827
Electricity gas steam and air conditioning supply,75,72,3
"Water supply; sewerage, waste management and remediation activities",1938,1035,903
Construction,200,176,24
Wholesale and retail trade; repair of motor vehicles and motorcycles,144649,80160,64489
Transportation and storage,707,559,148
Accommodation and food service activities,61914,41037,20877
Information and communication,2511,1957,554
Financial and insurance activities,4063,2591,1472
Real estate activities,132,106,26
"Professional, scientific and technical activities",1853,1392,461
Administrative and support service activities,1552,732,820
Public administration and defense; compulsory social security,14,11,3
Education,5441,3962,1479
Human health and social work activities,1851,1224,627
"Arts, entertainment and recreation",500,404,96
Other service activities,22949,16432,6517
Total,269175,162660,106515
