Table 4. 33: Distribution of establishments by economic activity and age of manager,,,,,,,,,,,
,,,,,,,,,,,
Economic activity, Age group of manager ,,,,,,,,,,
, Total , 15-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60-64 , 65 + 
Agriculture forestry and fishing,706,31,37,69,103,125,111,109,62,36,23
Mining and quarrying,295,0,14,24,40,59,53,44,24,20,17
Manufacturing,17826,2058,2461,2787,2899,2821,1721,1253,755,592,479
Electricity gas steam and air conditioning supply,75,1,4,5,12,21,5,11,11,4,1
"Water supply; sewerage, waste management and remediation activities",1938,119,126,222,218,307,237,223,198,118,170
Construction,200,2,17,42,39,35,19,23,11,7,5
Wholesale and retail trade; repair of motor vehicles and motorcycles,144659,15173,23301,28808,24980,22232,12267,8164,4437,2968,2329
Transportation and storage,707,11,43,106,139,140,99,96,32,25,16
Accommodation and food service activities,61922,6579,8952,10871,10329,9729,5728,4132,2409,1774,1419
Information and communication,2511,275,636,753,433,201,93,54,36,21,9
Financial and insurance activities,4063,378,843,1067,732,497,271,142,70,41,22
Real estate activities,132,1,12,21,24,21,12,13,10,12,6
"Professional, scientific and technical activities",1853,99,244,354,330,261,225,146,106,51,37
Administrative and support service activities,1552,78,162,285,292,278,190,127,61,45,34
Public administration and defense; compulsory social security,14,0,0,3,1,3,1,2,1,1,2
Education,5441,42,178,506,945,1219,1042,772,430,233,73
Human health and social work activities,1851,16,64,225,359,408,324,209,102,78,66
"Arts, entertainment and recreation",500,60,100,137,72,55,34,24,13,2,3
Other service activities,22949,3808,4780,4507,3530,2678,1393,1013,584,381,275
Total,269194,28731,41974,50792,45477,41090,23825,16557,9352,6409,4986
