Table 4. 34: Distribution of sole proprietor establishments by economic activity and sex of owner,,,
,,,
Economic activity,Sex of owner ,,
,Total,Male,Female
"Agriculture, Forestry and Fishing",221,175,46
Mining And Quarrying,180,150,30
Manufacturing,16175,8979,7196
"Electricity, gas, steam and air conditioning supply",16,16,0
"Water supply; sewerage, waste management and remediation activities",815,449,366
Construction,114,101,13
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,135240,75396,59844
Transportation And Storage,369,278,91
Accommodation And Food Service Activities,58482,38928,19554
Information And Communication,2257,1767,490
Financial And Insurance Activities,2846,1734,1112
Real Estate Activities,73,54,19
"Professional, Scientific And Technical Activities",1493,1106,387
Administrative And Support Service Activities,1229,500,729
Education,1007,670,337
Human Health And Social Work Activities,712,469,243
"Arts, Entertainment And Recreation",349,303,46
Other Service Activities,19414,13505,5909
Total,240992,144580,96412
