Table 4. 35A: Distribution of sole proprietorship establishments by economic activity and age of the owner,,,,,,,,,,,
,,,,,,,,,,,
Economic activity, Age group of owner,,,,,,,,,,
,Total,15.0,16-30,31-99,35-39,40-44,45-49,50-54,55-59,60-64,65-99
"Agriculture, Forestry and Fishing",221,20.0,24,32,38,24,26,25,14,14,4
Mining And Quarrying,180,0.0,8,13,20,43,34,26,13,11,12
Manufacturing,16175,1870.0,2245,2516,2636,2577,1544,1133,673,535,446
"Electricity, gas, steam and air conditioning supply",16,0.0,2,0,4,3,2,3,2,0,0
"Water supply; sewerage, waste management and remediation activities",815,47.0,55,82,78,141,96,108,90,52,66
Construction,114,2.0,12,29,22,18,7,13,3,5,3
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,135240,14062.0,21843,27129,23347,20835,11385,7610,4104,2727,2198
Transportation And Storage,369,7.0,22,60,69,60,55,55,19,14,8
Accommodation And Food Service Activities,58482,6036.0,8398,10240,9744,9240,5452,3957,2317,1713,1385
Information And Communication,2257,241.0,585,692,392,174,79,41,28,17,8
Financial And Insurance Activities,2846,346.0,767,897,449,188,87,49,28,16,19
Real Estate Activities,73,1.0,8,14,15,6,5,5,3,9,7
"Professional, Scientific And Technical Activities",1493,85.0,222,298,271,210,163,105,71,36,32
Administrative And Support Service Activities,1229,66.0,148,245,226,216,150,80,38,36,24
Education,1007,15.0,59,141,204,193,139,117,59,38,42
Human Health And Social Work Activities,712,16.0,33,81,127,146,123,84,35,32,35
"Arts, Entertainment And Recreation",349,42.0,62,88,46,42,31,22,10,3,3
Other Service Activities,19414,3502.0,4429,4105,3057,2151,969,568,270,182,181
Total,240992,26358.0,38922,46662,40745,36267,20347,14001,7777,5440,4473
