Table 4. 35B: Distribution of sole proprietor establishments by economic activity and age of owner,,,,
,,,,
Economic activity,Age of owner,,,
,Total,15 and below,16-30,31 +
"Agriculture, Forestry and Fishing",221,0,55,166
Mining And Quarrying,180,0,15,165
Manufacturing,16175,1,4815,11359
"Electricity, gas, steam and air conditioning supply",16,0,2,14
"Water supply; sewerage, waste management and remediation activities",815,0,128,687
Construction,114,0,17,97
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,135240,8,43594,91638
Transportation And Storage,369,0,46,323
Accommodation And Food Service Activities,58482,5,17374,41103
Information And Communication,2257,0,1021,1236
Financial And Insurance Activities,2846,0,1379,1467
Real Estate Activities,73,0,15,58
"Professional, Scientific And Technical Activities",1493,0,399,1094
Administrative And Support Service Activities,1229,0,274,955
Education,1007,0,109,898
Human Health And Social Work Activities,712,0,65,647
"Arts, Entertainment And Recreation",349,0,133,216
Other Service Activities,19414,5,9256,10153
Total,240992,19,78697,162276
