Table 4. 36: Distribution of private business – oriented establishments by economic activity or and owners’ nationality,,,,,,,,,,,,
,,,,,,,,,,,,
Economic activity,Nationality of owners recoded,,,,,,,,,,,
,Total,Rwandan,East African Community,Other African countries,Europe,America,Asia,Oceania,Joint (Rwandan + EAC),Joint (Rwandan + Other African countries),Joint (Rwandan + Other rest of world),Joint (more than one non Rwandan)
"Agriculture, Forestry and Fishing",683,506,150,4,8,10,5,0,0,0,0,0
Mining And Quarrying,287,273,2,1,2,1,7,0,0,0,1,0
Manufacturing,17745,17460,132,15,22,18,81,2,3,1,9,2
"Electricity, gas, steam and air conditioning supply",41,30,2,1,5,2,1,0,0,0,0,0
"Water supply; sewerage, waste management and remediation activities",907,903,1,0,1,0,2,0,0,0,0,0
Construction,194,160,5,3,4,2,18,0,0,0,1,1
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,144345,142851,780,185,86,38,338,10,15,14,20,8
Transportation And Storage,674,605,16,2,19,5,24,0,0,0,2,1
Accommodation And Food Service Activities,61827,61368,237,89,29,17,58,2,8,9,8,2
Information And Communication,2474,2405,25,10,6,3,16,0,1,1,4,3
Financial And Insurance Activities,3919,3693,97,36,15,10,30,0,11,12,12,3
Real Estate Activities,129,118,2,1,2,0,3,0,0,0,3,0
"Professional, Scientific And Technical Activities",1806,1749,21,9,7,7,11,0,1,0,1,0
Administrative And Support Service Activities,1459,1396,11,8,8,7,26,0,0,2,0,1
Education,1570,1490,22,10,11,14,8,0,4,2,7,2
Human Health And Social Work Activities,879,846,6,3,6,6,7,0,1,0,3,1
"Arts, Entertainment And Recreation",474,406,2,2,30,5,19,0,2,0,4,4
Other Service Activities,21342,21116,138,46,7,1,19,0,5,6,3,1
Total,260755,257375,1649,425,268,146,673,14,51,47,78,29
