Table 4. 37: Distribution of private business – oriented establishments by economic activity or and by legal status,,,,,,,
,,,,,,,
Economic activity,Legal status,,,,,,
,Total,Sole proprietorship,Limited by shares,Limited by guarantee,Limited by shares and by guarantee,Unlimited,
"Agriculture, Forestry and Fishing",683,221,317,14,15,30,86.0
Mining And Quarrying,287,180,85,3,0,11,8.0
Manufacturing,17746,16161,756,12,16,76,725.0
"Electricity, gas, steam and air conditioning supply",41,14,22,0,1,0,4.0
"Water supply; sewerage, waste management and remediation activities",907,681,105,0,0,21,100.0
Construction,194,114,71,0,0,4,5.0
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,144356,135151,2641,127,37,215,6185.0
Transportation And Storage,674,367,272,5,3,12,15.0
Accommodation And Food Service Activities,61835,58472,515,28,5,113,2702.0
Information And Communication,2474,2248,120,1,1,8,96.0
Financial And Insurance Activities,3919,2845,754,18,44,71,187.0
Real Estate Activities,129,73,49,2,2,1,2.0
"Professional, Scientific And Technical Activities",1806,1491,249,4,2,7,53.0
Administrative And Support Service Activities,1459,1228,177,4,1,7,42.0
Education,1570,1005,306,8,5,87,159.0
Human Health And Social Work Activities,879,699,125,1,1,14,39.0
"Arts, Entertainment And Recreation",474,348,91,4,3,8,20.0
Other Service Activities,21342,19409,549,18,13,141,1212.0
Total,260775,240707,7204,249,149,826,11640.0
