"Table 4. 38: Distribution of business-oriented establishments, which started before 2016 by economic activity and by annual turnover category",,,,,,,,
,,,,,,,,
Economic activity,Annual total turnover,,,,,,,
,Total,Less than 300.000,300.000 - <12.000.000,12 million - <20 million,20 million - < 50 million,50 million - < 400 million,400 million - < 1billion,Above 1 billion
"Agriculture, Forestry and Fishing",624,185,278,55,18,19,15,11
Mining And Quarrying,242,8,125,32,18,23,11,13
Manufacturing,17476,7495,9093,428,148,122,66,123
"Electricity, gas, steam and air conditioning supply",27,3,7,3,2,2,1,9
"Water supply; sewerage, waste management and remediation activities",678,482,176,7,4,4,3,1
Construction,182,5,65,22,25,27,19,19
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,142165,52724,81641,4402,1780,1088,313,199
Transportation And Storage,522,46,242,74,57,40,21,31
Accommodation And Food Service Activities,61216,28924,30785,952,307,172,54,15
Information And Communication,2350,652,1576,56,8,26,6,7
Financial And Insurance Activities,3163,1053,1588,129,100,193,62,36
Real Estate Activities,125,4,49,12,14,21,13,5
"Professional, Scientific And Technical Activities",1734,360,1074,152,70,47,15,8
Administrative And Support Service Activities,1410,208,906,138,92,87,25,26
Education,1413,153,722,213,1,2,29,11
Human Health And Social Work Activities,798,104,506,69,128,155,17,8
"Arts, Entertainment And Recreation",313,87,194,18,33,60,1,3
Other Service Activities,20846,11005,9499,196,7,3,13,5
Total,255284,103498,138526,6958,111,74,684,530
