Table 4. 43: Number of employees by economic activity and by sex,,,
,,,
Economic activity,Sex,,
,Both sexes,Male,Female
"Agriculture, Forestry and Fishing",25955,12547,13408
Mining And Quarrying,32907,24836,8071
Manufacturing,106374,60273,46101
"Electricity, gas, steam and air conditioning supply",2730,1800,930
"Water supply; sewerage, waste management and remediation activities",5090,3017,2073
Construction,9423,8124,1299
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,233752,126905,106847
Transportation And Storage,12514,9502,3012
Accommodation And Food Service Activities,113463,66275,47188
Information And Communication,7344,4609,2735
Financial And Insurance Activities,16074,8566,7508
Real Estate Activities,948,631,317
"Professional, Scientific And Technical Activities",10661,7044,3617
Administrative And Support Service Activities,36360,24731,11629
Public Administration And Defence; Compulsory Social Security,34074,11280,22794
Education,161896,85240,76656
Human Health And Social Work Activities,46738,21717,25021
"Arts, Entertainment And Recreation",2824,1775,1049
Other Service Activities,68612,44298,24314
Total,927739,523170,404569
