Table 4. 44: Employment by district and nationality,,,
,,,
District/Province,Nationality,,
,Total,Rwandan,Foreigner 
 Nyarugenge,89758,88154,1604
 Gasabo,130859,128072,2787
 Kicukiro,75055,73862,1193
City of Kigali ,295672,290088,5584
 Nyanza,14624,14546,78
 Gisagara,15486,15213,273
 Nyaruguru,18949,18929,20
 Huye,26394,26224,170
 Nyamagabe,21384,21009,375
 Ruhango,17051,16909,142
 Muhanga,22411,22244,167
  Kamonyi,24563,24498,65
South Province,160862,159572,1290
 Karongi,24424,24079,345
 Rutsiro,19423,19364,59
 Rubavu,34406,34065,341
 Nyabihu,21090,21042,48
 Ngororero,23077,23047,30
 Rusizi,26866,26709,157
 Nyamasheke,22340,22264,76
West Province,171626,170570,1056
 Rulindo,28595,28440,155
 Gakenke,20954,20941,13
 Musanze,36010,35751,259
 Burera,17938,17875,63
 Gicumbi,24757,24707,50
North Province,128254,127714,540
 Rwamagana,27819,27513,306
 Nyagatare,26879,26737,142
 Gatsibo,23422,23178,244
 Kayonza,23289,23169,120
 Kirehe,21997,19867,2130
 Ngoma,18520,18470,50
 Bugesera,29399,28965,434
East Province,171325,167899,3426
Rwanda,927739,915843,11896
