Table 4. 45: Number of employees by District and by sex,,,
,,,
District/Province,Sex,,
,Both sexes,Male,Female
 Nyarugenge,89758,38586,51172
 Gasabo,130859,57956,72903
 Kicukiro,75055,33482,41573
City of Kigali ,295672,130024,165648
 Nyanza,14624,6532,8092
 Gisagara,15486,7104,8382
 Nyaruguru,18949,7664,11285
 Huye,26394,11858,14536
 Nyamagabe,21384,9151,12233
 Ruhango,17051,7595,9456
 Muhanga,22411,10309,12102
  Kamonyi,24563,11455,13108
South Province,160862,71668,89194
 Karongi,24424,11211,13213
 Rutsiro,19423,7015,12408
 Rubavu,34406,15281,19125
 Nyabihu,21090,9305,11785
 Ngororero,23077,10073,13004
 Rusizi,26866,11154,15712
 Nyamasheke,22340,9595,12745
West Province,171626,73634,97992
 Rulindo,28595,12649,15946
 Gakenke,20954,7611,13343
 Musanze,36010,16952,19058
 Burera,17938,6668,11270
 Gicumbi,24757,10390,14367
North Province,128254,54270,73984
 Rwamagana,27819,12994,14825
 Nyagatare,26879,10700,16179
 Gatsibo,23422,10114,13308
 Kayonza,23289,9926,13363
 Kirehe,21997,9395,12602
 Ngoma,18520,7924,10596
 Bugesera,29399,13920,15479
East Province,171325,74973,96352
Rwanda,927739,404569,523170
