Table 4. 46: Number of Employees by Establishment’s year of starting operation and by sex,,,
,,,
Year of starting operations,Sex,,
,Both sexes,Male,Female
Below 1970,82037,41310,40727
1970-1972,6893,3619,3274
1973-1975,15969,9155,6814
1976-1978,5300,2816,2484
1979-1981,10172,6007,4165
1982-1984,8647,5010,3637
1985-1987,10001,5916,4085
1988-1990,5932,3394,2538
1991-1993,6182,3732,2450
1994-1996,27377,18090,9287
1997-1999,20238,12640,7598
2000-2002,14760,8501,6259
2003-2005,17699,10367,7332
2006-2008,49416,30024,19392
2009-2011,60853,38193,22660
2012-2014,60298,36739,23559
2015-2017,90577,53386,37191
2018-2020,129917,74713,55204
2021-2023,247672,136572,111100
2024,19393,10290,9103
Not stated,38406,12696,25710
Total,927739,523170,404569
