market_id,market,countryiso3,admin1,admin2,latitude,longitude
257,Kiboga,UGA,Kyankwanzi,Kiboga,0.92,31.77
258,Owino,UGA,Kampala,Central Kampala,0.32,32.57
259,Iganga,UGA,Iganga,Kigulu,0.61,33.47
260,Jinja,UGA,Jinja,Jinja Municipality,0.42,33.2
261,Kapchorwa,UGA,Kween,Kween,1.38,34.52
262,Gulu,UGA,Gulu,Gulu Municipality,2.77,32.31
263,Lira,UGA,Lira,Lira Municipality,2.23,32.91
264,Mbarara,UGA,Mbarara,Mbarara Municipality,-0.61,30.65
2343,Makaratin,UGA,Abim,Labwor,2.71,33.64
2344,Kotido,UGA,Kotido,Jie,3,34.11
2345,Kaabong,UGA,Kaabong,Dodoth,3.54,34.12
2346,Karita,UGA,Amudat,Upe,1.54,34.83
2347,Namalu,UGA,Nakapiripirit,Kadani,1.79,34.6
2348,Mbale,UGA,Mbale,Mbale Municipality,1.07,34.18
2349,Soroti,UGA,Soroti,Soroti Municipality,1.71,33.62
2665,Busia,UGA,Busia,Samia-bugwe,0.47,34.09
2692,Kabale,UGA,Kabale,Kabale Municipality,-1.25,29.99
2693,Masindi,UGA,Masindi,Buruli M,1.69,31.71
6147,Moroto,UGA,Moroto,Moroto Municipality,2.53,34.65
6148,Arua,UGA,Arua,Arua Municipality,3.02,30.91
6149,Kasese,UGA,Kasese,Busongora,0.17,30.07
6150,Tororo,UGA,Tororo,Tororo Municipality,0.69,34.18
6151,Hoima,UGA,Hoima,Bugahya,1.43,31.35
6292,Fort Portal,UGA,Kabarole,Fort Portal Municipality,0.66,30.28
6404,Bidibidi (refugee settlement),UGA,Yumbe,Aringa,3.36,31.35
6405,Palorinya (refugee settlement),UGA,Moyo,Obongi,3.47,31.63
6406,Palabek (refugee settlement),UGA,Lamwo,Lamwo,3.34,32.47
6407,Kyaka II (refugee settlement),UGA,Kyegegwa,Kyaka,0.36,31.09
6408,Lobule (refugee settlement),UGA,Koboko,Koboko,3.39,31.03
6409,Kiryandongo (refugee settlement),UGA,Kiryandongo,Kibanda,1.94,32.21
6410,Rwamwanja (refugee settlement),UGA,Kamwenge,Kibale,0.31,30.68
6411,Oruchinga (refugee settlement),UGA,Isingiro,Bukanga,-0.94,30.76
6412,Nakivale (refugee settlement),UGA,Isingiro,Bukanga,-0.78,30.96
6413,Kyangwali (refugee settlement),UGA,Hoima,Buhaguzi,1.16,30.75
6414,Rhino Camp (refugee settlement),UGA,Arua,Terego,3.17,31.31
6415,Imvepi (refugee settlement),UGA,Arua,Terego,3.23,31.28
6416,Adjumani (refugee settlement),UGA,Adjumani,Adjumani,3.34,31.78
6768,Wakiso,UGA,Wakiso,Busiro,0.4,32.48
6769,Mukono,UGA,Mukono,Mukono,0.36,32.75
6770,Masaka,UGA,Masaka,Masaka Municipality,-0.35,31.74
7854,Nabilatuk,UGA,Nakapiripirit,Pian,2.05,34.57
7956,Napak,UGA,Napak,Bokora,2.22,34.26
7957,Karenga,UGA,Kaabong,Dodoth,3.57,33.7
8471,Kasonga,UGA,Hoima,Buhaguzi,1.19,30.78
8472,Basecamp,UGA,Kamwenge,Kibale,0.33,30.67
8473,Bukere,UGA,Kyegegwa,Kyaka,0.38,31.1
8474,Byabakora,UGA,Kyegegwa,Kyaka,0.33,31.08
